team,matches,goals,assists,possession,shots,yellow_cards,red_cards
Argentina,7,15,8,57.4,103,16,0
France,7,16,12,51.3,101,8,0
Croatia,7,8,8,55.0,82,8,0
Morocco,7,6,4,39.0,61,9,1
England,5,13,11,62.8,74,1,0
Brazil,5,8,6,56.2,92,6,0
Portugal,5,12,10,60.4,70,6,0
Netherlands,5,10,8,53.2,51,9,1
Spain,4,9,7,75.8,49,2,0
Japan,4,5,4,35.8,44,6,0
Australia,4,4,3,37.8,35,7,0
South Korea,4,5,4,48.3,50,6,0
Senegal,4,5,4,44.8,51,7,0
Switzerland,4,5,4,49.0,45,9,0
United States,4,3,3,53.0,45,5,0
Poland,4,3,2,37.3,33,7,0
Germany,3,6,5,59.3,67,3,0
Ecuador,3,4,3,53.3,42,3,0
Cameroon,3,4,3,41.7,28,8,1
Uruguay,3,2,1,48.7,33,8,0
Tunisia,3,1,1,43.0,30,5,0
Mexico,3,2,2,54.0,41,7,0
Belgium,3,1,1,57.0,34,5,0
Ghana,3,5,4,42.0,25,8,0
Saudi Arabia,3,3,2,44.7,29,14,0
Iran,3,4,3,36.7,32,7,0
Costa Rica,3,3,1,31.3,12,6,0
Denmark,3,1,1,60.0,35,5,0
Serbia,3,5,4,51.3,32,12,0
Wales,3,1,0,46.7,24,5,1
Canada,3,2,2,52.0,35,8,0
Qatar,3,1,1,43.0,21,7,0
